method,pseudopotential,system,basis,BE,BEerr,SHCIBE
HF,trail,ScO,vdz,0.12172404959283512,0.0,0.2419399999999996
HF,trail,TiO,vdz,0.09832516720311446,0.0,0.23945000000000505
HF,trail,VO,vdz,0.05405374506811711,0.0,0.22684999999999889
HF,trail,CrO,vdz,-0.030719534233853096,0.0,0.1650899999999922
HF,trail,MnO,vdz,-0.033206486106081456,0.0,0.12700000000000955
HF,trail,FeO,vdz,-0.02686270165062865,0.0,0.13661999999999352
HF,trail,CuO,vdz,0.023529224891518652,0.0,0.1048799999999801
HF,trail,ScO,vtz,0.12449059745495106,0.0,0.2508100000000084
HF,trail,TiO,vtz,0.10101976034778204,0.0,0.24920000000000186
HF,trail,VO,vtz,0.058042309509218626,0.0,0.23925999999998737
HF,trail,CrO,vtz,-0.026423901489579293,0.0,0.17072999999999183
HF,trail,MnO,vtz,-0.02972925238219659,0.0,0.13859999999999673
HF,trail,FeO,vtz,-0.023112779828124985,0.0,0.1512400000000298
HF,trail,CuO,vtz,0.02559422649940757,0.0,0.10611999999997579
HF,trail,ScO,vqz,0.1252828333113314,0.0,0.25536381000000574
HF,trail,TiO,vqz,0.10172927479135296,0.0,0.25339785999999265
HF,trail,VO,vqz,0.05916077483028914,0.0,0.24381173599999784
HF,trail,CrO,vqz,-0.024739012061075982,0.0,0.17305600000001675
HF,trail,MnO,vqz,-0.0288445050862407,0.0,0.14297125940001365
HF,trail,FeO,vqz,-0.02233514451108931,0.0,0.155512200000004
HF,trail,CuO,vqz,0.025957349155106613,0.0,0.10873419999998646
HF,trail,ScO,v5z,0.1254097404938932,0.0,0.25684096089999997
HF,trail,TiO,v5z,0.10189051457676612,0.0,0.2544431052000107
HF,trail,VO,v5z,0.05935875600796692,0.0,0.24439381719999176
HF,trail,CrO,v5z,-0.024355337871796223,0.0,0.17424681640000017
HF,trail,MnO,v5z,-0.028698545809135112,0.0,0.1437744293000094
HF,trail,FeO,v5z,-0.022197028447124012,0.0,0.15671194910001418
HF,trail,CuO,v5z,0.026046949328815572,0.0,0.10987829589996068
CISD,trail,ScO,vdz,0.19286502471070577,0.0,0.2419399999999996
CISD,trail,TiO,vdz,0.18126742252636063,0.0,0.23945000000000505
CISD,trail,VO,vdz,0.1424679022472759,0.0,0.22684999999999889
CISD,trail,CrO,vdz,0.06306984524567838,0.0,0.1650899999999922
CISD,trail,MnO,vdz,0.059233503284886524,0.0,0.12700000000000955
CISD,trail,FeO,vdz,0.05458468022501961,0.0,0.13661999999999352
CISD,trail,CuO,vdz,0.048505772938909786,0.0,0.1048799999999801
CISD,trail,ScO,vtz,0.1915980474222465,0.0,0.2508100000000084
CISD,trail,TiO,vtz,0.17902455481277002,0.0,0.24920000000000186
CISD,trail,VO,vtz,0.1389009884105974,0.0,0.23925999999998737
CISD,trail,CrO,vtz,0.05560299135115088,0.0,0.17072999999999183
CISD,trail,MnO,vtz,0.05709208423765233,0.0,0.13859999999999673
CISD,trail,FeO,vtz,0.05314136873988673,0.0,0.1512400000000298
CISD,trail,CuO,vtz,0.040052591581371644,0.0,0.10611999999997579
CISD,trail,ScO,vqz,0.19351644903615295,0.0,0.25536381000000574
CISD,trail,TiO,vqz,0.18004160547363313,0.0,0.25339785999999265
CISD,trail,VO,vqz,0.13925349337432635,0.0,0.24381173599999784
CISD,trail,CrO,vqz,0.05409056910194465,0.0,0.17305600000001675
CISD,trail,MnO,vqz,0.05719758737278369,0.0,0.14297125940001365
CISD,trail,FeO,vqz,0.05266611839940083,0.0,0.155512200000004
CISD,trail,CuO,vqz,0.03851223841419937,0.0,0.10873419999998646
CISD,trail,ScO,v5z,0.19381473997850662,0.0,0.25684096089999997
CISD,trail,TiO,v5z,0.1801728884410494,0.0,0.2544431052000107
CISD,trail,VO,v5z,0.13900505094477467,0.0,0.24439381719999176
CISD,trail,CrO,v5z,0.05320051048279595,0.0,0.17424681640000017
CISD,trail,MnO,v5z,0.056890459936340676,0.0,0.1437744293000094
CISD,trail,FeO,v5z,0.05204057373006776,0.0,0.15671194910001418
CISD,trail,CuO,v5z,0.037657823303476334,0.0,0.10987829589996068
UCCSD,trail,MnO,v5z,0.11877194703937732,0.0,0.1437744293000094
UCCSD(T),trail,MnO,v5z,0.14097824614830756,0.0,0.1437744293000094
UCCSD,trail,TiO,vqz,0.22576539338605528,0.0,0.25339785999999265
UCCSD(T),trail,TiO,vqz,0.25258210128906455,0.0,0.25339785999999265
UCCSD,trail,ScO,vdz,0.22300216989827248,0.0,0.2419399999999996
UCCSD(T),trail,ScO,vdz,0.2408068215829573,0.0,0.2419399999999996
UCCSD,trail,CrO,vdz,0.13371819621377767,0.0,0.1650899999999922
UCCSD(T),trail,CrO,vdz,0.16119878945625032,0.0,0.1650899999999922
UCCSD,trail,TiO,vtz,0.22233843204548975,0.0,0.24920000000000186
UCCSD(T),trail,TiO,vtz,0.24841016305209962,0.0,0.24920000000000186
UCCSD,trail,CrO,vtz,0.1365318189453717,0.0,0.17072999999999183
UCCSD(T),trail,CrO,vtz,0.16756437303473604,0.0,0.17072999999999183
UCCSD,trail,FeO,vdz,0.11390395644153273,0.0,0.13661999999999352
UCCSD(T),trail,FeO,vdz,0.1318473454686,0.0,0.13661999999999352
UCCSD,trail,VO,vtz,0.20562506045537532,0.0,0.23925999999998737
UCCSD(T),trail,VO,vtz,0.23725962319521443,0.0,0.23925999999998737
UCCSD,trail,CuO,vqz,0.09547076707875135,0.0,0.10873419999998646
UCCSD(T),trail,CuO,vqz,0.10437496000332658,0.0,0.10873419999998646
UCCSD,trail,CrO,v5z,0.1382885152983988,0.0,0.17424681640000017
UCCSD(T),trail,CrO,v5z,0.16999090761713376,0.0,0.17424681640000017
UCCSD,trail,FeO,vtz,0.12473211176322252,0.0,0.1512400000000298
UCCSD(T),trail,FeO,vtz,0.14871193612506772,0.0,0.1512400000000298
UCCSD,trail,ScO,vqz,0.23321277590289213,0.0,0.25536381000000574
UCCSD(T),trail,ScO,vqz,0.255071668788986,0.0,0.25536381000000574
UCCSD,trail,ScO,vtz,0.22916533863049438,0.0,0.2508100000000084
UCCSD(T),trail,ScO,vtz,0.2502841076621607,0.0,0.2508100000000084
UCCSD,trail,MnO,vdz,0.10751128176522684,0.0,0.12700000000000955
UCCSD(T),trail,MnO,vdz,0.12290566001526315,0.0,0.12700000000000955
UCCSD,trail,CuO,vtz,0.09379636111330569,0.0,0.10611999999997579
UCCSD(T),trail,CuO,vtz,0.10228008699129987,0.0,0.10611999999997579
UCCSD,trail,CuO,v5z,0.09563455519628405,0.0,0.10987829589996068
UCCSD(T),trail,CuO,v5z,0.10477204181998445,0.0,0.10987829589996068
UCCSD,trail,VO,v5z,0.20962834839511402,0.0,0.24439381719999176
UCCSD(T),trail,VO,v5z,0.24212427756228294,0.0,0.24439381719999176
UCCSD,trail,CrO,vqz,0.13816861360851362,0.0,0.17305600000001675
UCCSD(T),trail,CrO,vqz,0.16967560465992904,0.0,0.17305600000001675
UCCSD,trail,TiO,vdz,0.2155034650644012,0.0,0.23945000000000505
UCCSD(T),trail,TiO,vdz,0.2380611704207638,0.0,0.23945000000000505
UCCSD,trail,CuO,vdz,0.09261548080121429,0.0,0.1048799999999801
UCCSD(T),trail,CuO,vdz,0.09977153910736547,0.0,0.1048799999999801
UCCSD,trail,VO,vdz,0.1968521321417427,0.0,0.22684999999999889
UCCSD(T),trail,VO,vdz,0.22437891341188276,0.0,0.22684999999999889
UCCSD,trail,FeO,vqz,0.12800679131052561,0.0,0.155512200000004
UCCSD(T),trail,FeO,vqz,0.15316844106453686,0.0,0.155512200000004
UCCSD,trail,ScO,v5z,0.23413390378999566,0.0,0.25684096089999997
UCCSD(T),trail,ScO,v5z,0.2562266795020278,0.0,0.25684096089999997
UCCSD,trail,TiO,v5z,0.22659742661055304,0.0,0.2544431052000107
UCCSD(T),trail,TiO,v5z,0.2536271204796776,0.0,0.2544431052000107
UCCSD,trail,FeO,v5z,0.12862566522511543,0.0,0.15671194910001418
UCCSD(T),trail,FeO,v5z,0.1541964618545535,0.0,0.15671194910001418
UCCSD,trail,MnO,vtz,0.11502160726350041,0.0,0.13859999999999673
UCCSD(T),trail,MnO,vtz,0.1358649962693903,0.0,0.13859999999999673
UCCSD,trail,MnO,vqz,0.11810429902358521,0.0,0.14297125940001365
UCCSD(T),trail,MnO,vqz,0.13995598883813898,0.0,0.14297125940001365
UCCSD,trail,VO,vqz,0.2089695202165558,0.0,0.24381173599999784
UCCSD(T),trail,VO,vqz,0.24128755641291377,0.0,0.24381173599999784
GF2,trail,ScO,vdz,0.21930000000000405,0.0,0.2419399999999996
GF2,trail,ScO,vtz,0.22789999999999822,0.0,0.2508100000000084
GF2,trail,ScO,vqz,0.23140000000000072,0.0,0.25536381000000574
GF2,trail,TiO,vdz,0.20669999999999789,0.0,0.23945000000000505
GF2,trail,TiO,vtz,0.21479999999999677,0.0,0.24920000000000186
GF2,trail,TiO,vqz,0.21629999999998972,0.0,0.25339785999999265
GF2,trail,VO,vdz,0.19819999999999993,0.0,0.22684999999999889
GF2,trail,VO,vtz,0.20520000000000493,0.0,0.23925999999998737
GF2,trail,VO,vqz,0.21529999999998495,0.0,0.24381173599999784
GF2,trail,CrO,vdz,0.09999999999999432,0.0,0.1650899999999922
GF2,trail,CrO,vtz,0.10210000000000719,0.0,0.17072999999999183
GF2,trail,CrO,vqz,0.10569999999998458,0.0,0.17305600000001675
GF2,trail,MnO,vdz,0.09359999999999502,0.0,0.12700000000000955
GF2,trail,MnO,vtz,0.0992999999999995,0.0,0.13859999999999673
GF2,trail,FeO,vdz,0.08809999999999718,0.0,0.13661999999999352
GF2,trail,FeO,vtz,0.09209999999998786,0.0,0.1512400000000298
GF2,trail,FeO,vqz,0.10209999999997876,0.0,0.155512200000004
GF2,trail,CuO,vdz,,,
GF2,trail,CuO,vtz,,,
GF2,trail,CuO,vqz,,,
SEET(FCI/GF2),trail,ScO,vdz,0.23860000000000525,0.0,0.2419399999999996
SEET(FCI/GF2),trail,ScO,vtz,0.24859999999999616,0.0,0.2508100000000084
SEET(FCI/GF2),trail,ScO,vqz,0.25080000000000524,0.0,0.25536381000000574
SEET(FCI/GF2),trail,TiO,vdz,0.23869999999999436,0.0,0.23945000000000505
SEET(FCI/GF2),trail,TiO,vtz,0.25139999999998963,0.0,0.24920000000000186
SEET(FCI/GF2),trail,TiO,vqz,0.2572499999999991,0.0,0.25339785999999265
SEET(FCI/GF2),trail,VO,vdz,0.2296000000000049,0.0,0.22684999999999889
SEET(FCI/GF2),trail,VO,vtz,0.24429999999999552,0.0,0.23925999999998737
SEET(FCI/GF2),trail,VO,vqz,0.24149999999998784,0.0,0.24381173599999784
SEET(FCI/GF2),trail,CrO,vdz,0.16850000000000875,0.0,0.1650899999999922
SEET(FCI/GF2),trail,CrO,vqz,0.1646999999999963,0.0,0.17305600000001675
SEET(FCI/GF2),trail,FeO,vdz,0.13289999999997804,0.0,0.13661999999999352
SEET(FCI/GF2),trail,FeO,vtz,0.14860000000001605,0.0,0.1512400000000298
SEET(FCI/GF2),trail,FeO,vqz,0.148900000000026,0.0,0.155512200000004
SEET(FCI/GF2),trail,CuO,vdz,,,
SEET(FCI/GF2),trail,CuO,vtz,,,
SEET(FCI/GF2),trail,CuO,vqz,,,
SHCI,trail,ScO,vdz,0.2419399999999996,9.920146974717663e-06,0.2419399999999996
SHCI,trail,TiO,vdz,0.23945000000000505,7.137261379548882e-07,0.23945000000000505
SHCI,trail,VO,vdz,0.22684999999999889,2.73019463775021e-05,0.22684999999999889
SHCI,trail,CrO,vdz,0.1650899999999922,2.445146212397124e-06,0.1650899999999922
SHCI,trail,MnO,vdz,0.12700000000000955,1.0010391400939327e-05,0.12700000000000955
SHCI,trail,FeO,vdz,0.13661999999999352,5.442474804718897e-06,0.13661999999999352
SHCI,trail,CuO,vdz,0.1048799999999801,3.778876155684385e-06,0.1048799999999801
SHCI,trail,ScO,vtz,0.2508100000000084,9.960388747433505e-06,0.2508100000000084
SHCI,trail,TiO,vtz,0.24920000000000186,1.990338385802776e-05,0.24920000000000186
SHCI,trail,VO,vtz,0.23925999999998737,2.0025840531673074e-05,0.23925999999998737
SHCI,trail,CrO,vtz,0.17072999999999183,1.9905042175288147e-05,0.17072999999999183
SHCI,trail,MnO,vtz,0.13859999999999673,2.002448750904752e-05,0.13859999999999673
SHCI,trail,FeO,vtz,0.1512400000000298,2.0008149364696378e-05,0.1512400000000298
SHCI,trail,CuO,vtz,0.10611999999997579,1.7261451271547245e-06,0.10611999999997579
SHCI,trail,ScO,vqz,0.25536381000000574,1.1372818472129063e-05,0.25536381000000574
SHCI,trail,TiO,vqz,0.25339785999999265,1.1541823945980115e-05,0.25339785999999265
SHCI,trail,VO,vqz,0.24381173599999784,1.5106160994772963e-05,0.24381173599999784
SHCI,trail,CrO,vqz,0.17305600000001675,1.1322371659683321e-05,0.17305600000001675
SHCI,trail,MnO,vqz,0.14297125940001365,1.1813255266860191e-05,0.14297125940001365
SHCI,trail,FeO,vqz,0.155512200000004,1.98465639343439e-05,0.155512200000004
SHCI,trail,CuO,vqz,0.10873419999998646,2.280868474945454e-05,0.10873419999998646
SHCI,trail,ScO,v5z,0.25684096089999997,1e-05,0.25684096089999997
SHCI,trail,TiO,v5z,0.2544431052000107,1e-05,0.2544431052000107
SHCI,trail,VO,v5z,0.24439381719999176,1e-05,0.24439381719999176
SHCI,trail,CrO,v5z,0.17424681640000017,1e-05,0.17424681640000017
SHCI,trail,MnO,v5z,0.1437744293000094,1.0000120049279409e-05,0.1437744293000094
SHCI,trail,FeO,v5z,0.15671194910001418,1.000196000791845e-05,0.15671194910001418
SHCI,trail,CuO,v5z,0.10987829589996068,1.005686949303808e-05,0.10987829589996068
DMC(SD),trail,ScO,cbs,0.2543421339215399,0.0002855609963176768,0.25834271171856926
DMC(SD),trail,TiO,cbs,0.25682320205878284,0.00042354298769586255,0.25541538404372943
DMC(SD),trail,VO,cbs,0.23155885666662357,0.0009619265531040166,0.24490347590175077
DMC(SD),trail,CrO,cbs,0.14443830029406968,0.00103721682148943,0.17539369025220708
DMC(SD),trail,MnO,cbs,0.12877103529402234,0.0012967622733327543,0.1445263194790698
DMC(SD),trail,FeO,cbs,0.14160404411759941,0.0013396640327309798,0.1578681358434153
DMC(SD),trail,CuO,cbs,0.09832766666650627,0.001579389976195119,0.11098908423252851
DMC(MD),trail,ScO,cbs,0.235196049999999,0.000692753038769189,0.25834271171856926
DMC(MD),trail,TiO,cbs,0.22605593500003351,0.00048788691772093135,0.25541538404372943
DMC(MD),trail,VO,cbs,0.2107296050000116,0.0005556503988625645,0.24490347590175077
DMC(MD),trail,CrO,cbs,0.14644824999999173,0.00035386506416167156,0.17539369025220708
DMC(MD),trail,MnO,cbs,0.11004671000000599,0.00039014093519419983,0.1445263194790698
DMC(MD),trail,FeO,cbs,0.124531410000003,0.0008971530479331809,0.1578681358434153
DMC(MD),trail,CuO,cbs,0.09012653647044999,0.0008041306321847608,0.11098908423252851
CIC+Q,trail,CrO,vdz,0.14830599999999095,0.0,0.1650899999999922
CIC+Q,trail,CrO,vtz,0.15248900000000276,0.0,0.17072999999999183
CIC+Q,trail,CrO,vqz,0.15471400000001267,0.0,0.17305600000001675
CIC+Q,trail,CrO,v5z,0.15501900000001,0.0,0.17424681640000017
CIC+Q,trail,CuO,vdz,0.07679999999999154,0.0,0.1048799999999801
CIC+Q,trail,CuO,vtz,0.07275100000001089,0.0,0.10611999999997579
CIC+Q,trail,CuO,vqz,0.0725930000000119,0.0,0.10873419999998646
CIC+Q,trail,CuO,v5z,0.0721319999999821,0.0,0.10987829589996068
CIC+Q,trail,FeO,vdz,0.09154500000002486,0.0,0.13661999999999352
CIC+Q,trail,FeO,vtz,0.09371200000001068,0.0,0.1512400000000298
CIC+Q,trail,FeO,vqz,0.09449600000002079,0.0,0.155512200000004
CIC+Q,trail,FeO,v5z,0.0941180000000088,0.0,0.15671194910001418
CIC+Q,trail,MnO,vdz,0.10716000000000747,0.0,0.12700000000000955
CIC+Q,trail,MnO,vtz,0.08536300000000097,0.0,0.13859999999999673
CIC+Q,trail,MnO,vqz,0.08637899999999377,0.0,0.14297125940001365
CIC+Q,trail,MnO,v5z,0.08623599999999954,0.0,0.1437744293000094
CIC+Q,trail,ScO,vdz,0.25115400000001387,0.0,0.2419399999999996
CIC+Q,trail,ScO,vtz,0.2602010000000021,0.0,0.2508100000000084
CIC+Q,trail,ScO,vqz,0.2650350000000046,0.0,0.25536381000000574
CIC+Q,trail,ScO,v5z,0.26620899999999637,0.0,0.25684096089999997
CIC+Q,trail,TiO,vdz,0.23408799999999985,0.0,0.23945000000000505
CIC+Q,trail,TiO,vtz,0.2402800000000127,0.0,0.24920000000000186
CIC+Q,trail,TiO,vqz,0.24352399999999363,0.0,0.25339785999999265
CIC+Q,trail,TiO,v5z,0.24432600000001514,0.0,0.2544431052000107
CIC+Q,trail,VO,vdz,,,
CIC+Q,trail,VO,vtz,0.21360599999999863,0.0,0.23925999999998737
CIC+Q,trail,VO,vqz,0.2145399999999853,0.0,0.24381173599999784
CIC+Q,trail,VO,v5z,,,
AFQMC(MD),trail,ScO,vdz,0.24399999999999977,0.001772004514666935,0.2419399999999996
AFQMC(MD),trail,ScO,vtz,0.252200000000002,0.0017804493814764855,0.2508100000000084
AFQMC(MD),trail,ScO,vqz,0.2557000000000045,0.002009975124224178,0.25536381000000574
AFQMC(MD),trail,ScO,v5z,0.25849999999999795,0.0016401219466856724,0.25684096089999997
AFQMC(MD),trail,TiO,vdz,0.24219999999999686,0.0010862780491200216,0.23945000000000505
AFQMC(MD),trail,TiO,vtz,0.24929999999999097,0.001183215956619923,0.24920000000000186
AFQMC(MD),trail,TiO,vqz,0.2533000000000101,0.0013747727084867521,0.25339785999999265
AFQMC(MD),trail,TiO,v5z,0.25679999999999836,0.0016763054614240208,0.2544431052000107
AFQMC(MD),trail,VO,vdz,0.22639999999999816,0.001284523257866513,0.22684999999999889
AFQMC(MD),trail,VO,vtz,0.23870000000000857,0.0015748015748023622,0.23925999999998737
AFQMC(MD),trail,VO,vqz,0.2441999999999922,0.0015684387141358122,0.24381173599999784
AFQMC(MD),trail,VO,v5z,0.24620000000000175,0.0015684387141358122,0.24439381719999176
AFQMC(MD),trail,CrO,vdz,0.16089999999999804,0.001349073756323204,0.1650899999999922
AFQMC(MD),trail,CrO,vtz,0.16849999999999454,0.001708800749063506,0.17072999999999183
AFQMC(MD),trail,CrO,vqz,0.16799999999999216,0.002009975124224178,0.17305600000001675
AFQMC(MD),trail,CrO,v5z,0.17169999999998709,0.0022561028345356956,0.17424681640000017
AFQMC(MD),trail,MnO,vdz,0.12770000000000437,0.0016155494421403512,0.12700000000000955
AFQMC(MD),trail,MnO,vtz,0.13989999999999725,0.0017916472867168917,0.13859999999999673
AFQMC(MD),trail,MnO,vqz,0.13930000000000575,0.0019519221295943134,0.14297125940001365
AFQMC(MD),trail,MnO,v5z,0.14359999999999218,0.0017804493814764855,0.1437744293000094
AFQMC(MD),trail,FeO,vdz,0.1342999999999961,0.001284523257866513,0.13661999999999352
AFQMC(MD),trail,FeO,vtz,0.1507000000000005,0.0017146428199482247,0.1512400000000298
AFQMC(MD),trail,FeO,vqz,0.15500000000000114,0.0017804493814764855,0.155512200000004
AFQMC(MD),trail,FeO,v5z,0.15489999999999782,0.0018547236990991407,0.15671194910001418
AFQMC(MD),trail,CuO,vdz,0.10790000000000077,0.0017832554500127008,0.1048799999999801
AFQMC(MD),trail,CuO,vtz,0.1139999999999759,0.0020904544960366873,0.10611999999997579
AFQMC(MD),trail,CuO,vqz,0.11200000000002319,0.002343074902771996,0.10873419999998646
AFQMC(MD),trail,CuO,v5z,0.11050000000000182,0.002569046515733026,0.10987829589996068
iFCIQMC,trail,ScO,vdz,0.24145200000000955,1.754613703924599e-05,0.2419399999999996
HF+RPA,trail,ScO,vtz,0.216865999999996,0.0,0.2508100000000084
HSE06mark,trail,ScO,vtz,0.245865000000002,0.0,0.2508100000000084
HSE06+RPA,trail,ScO,vtz,0.24185999999999552,0.0,0.2508100000000084
QSGW,trail,ScO,vtz,0.23585500000000081,0.0,0.2508100000000084
HF+RPA,trail,TiO,vtz,0.2061350000000033,0.0,0.24920000000000186
HSE06mark,trail,TiO,vtz,0.18253200000000902,0.0,0.24920000000000186
HSE06+RPA,trail,TiO,vtz,0.18498400000000004,0.0,0.24920000000000186
QSGW,trail,TiO,vtz,0.2358470000000068,0.0,0.24920000000000186
HF+RPA,trail,VO,vtz,0.1806930000000051,0.0,0.23925999999998737
HSE06mark,trail,VO,vtz,0.23274000000000683,0.0,0.23925999999998737
HSE06+RPA,trail,VO,vtz,0.2311910000000097,0.0,0.23925999999998737
QSGW,trail,VO,vtz,0.22580500000000825,0.0,0.23925999999998737
HF+RPA,trail,CrO,vtz,0.08212699999999984,0.0,0.17072999999999183
HSE06mark,trail,CrO,vtz,0.1381980000000027,0.0,0.17072999999999183
HSE06+RPA,trail,CrO,vtz,0.15324199999999166,0.0,0.17072999999999183
QSGW,trail,CrO,vtz,0.14023299999999495,0.0,0.17072999999999183
HF+RPA,trail,MnO,vtz,0.07973000000001207,0.0,0.13859999999999673
HSE06mark,trail,MnO,vtz,0.136690999999999,0.0,0.13859999999999673
HSE06+RPA,trail,MnO,vtz,0.13079399999999453,0.0,0.13859999999999673
QSGW,trail,MnO,vtz,0.1359290000000044,0.0,0.13859999999999673
HF+RPA,trail,FeO,vtz,0.08280600000003346,0.0,0.1512400000000298
HSE06mark,trail,FeO,vtz,0.1439279999999883,0.0,0.1512400000000298
HSE06+RPA,trail,FeO,vtz,0.1422550000000058,0.0,0.1512400000000298
QSGW,trail,FeO,vtz,0.13630299999999806,0.0,0.1512400000000298
PBE+RPA,trail,ScO,vtz,0.2438539999999989,0.0,0.2508100000000084
PBE+RPA,trail,TiO,vtz,0.23393099999999833,0.0,0.24920000000000186
PBE+RPA,trail,VO,vtz,0.23647100000002297,0.0,0.23925999999998737
PBE+RPA,trail,CrO,vtz,0.1665559999999715,0.0,0.17072999999999183
PBE+RPA,trail,MnO,vtz,0.1381630000000058,0.0,0.13859999999999673
PBE+RPA,trail,FeO,vtz,0.15618999999998096,0.0,0.1512400000000298
DMRG,trail,CrO,vdz,0.16490299999999536,0.0,0.1650899999999922
DMRG,trail,CuO,vdz,0.10460200000002828,0.0,0.1048799999999801
DMRG,trail,FeO,vdz,0.135942,0.0,0.13661999999999352
DMRG,trail,MnO,vdz,0.1268479999999954,0.0,0.12700000000000955
DMRG,trail,ScO,vdz,0.24221400000000415,0.0,0.2419399999999996
DMRG,trail,TiO,vdz,0.2397229999999979,0.0,0.23945000000000505
DMRG,trail,VO,vdz,0.22677600000000098,0.0,0.22684999999999889
MRLCC,trail,CrO,vdz,0.15342910900000106,0.0,0.1650899999999922
MRLCC,trail,CuO,vdz,0.09316576899996676,0.0,0.1048799999999801
MRLCC,trail,FeO,vdz,0.1329538460000208,0.0,0.13661999999999352
MRLCC,trail,MnO,vdz,0.10755076899999949,0.0,0.12700000000000955
MRLCC,trail,ScO,vdz,0.2373188409999969,0.0,0.2419399999999996
MRLCC,trail,TiO,vdz,0.23051307200000792,0.0,0.23945000000000505
MRLCC,trail,VO,vdz,0.21976948300000743,0.0,0.22684999999999889
MRLCC,trail,CrO,vtz,0.15843963900000801,0.0,0.17072999999999183
MRLCC,trail,CuO,vtz,0.09331478999999376,0.0,0.10611999999997579
MRLCC,trail,FeO,vtz,0.12304859399998236,0.0,0.1512400000000298
MRLCC,trail,MnO,vtz,0.11709430099999452,0.0,0.13859999999999673
MRLCC,trail,ScO,vtz,0.23882341900000625,0.0,0.2508100000000084
MRLCC,trail,TiO,vtz,0.24012926100000698,0.0,0.24920000000000186
MRLCC,trail,VO,vtz,0.23086384100000146,0.0,0.23925999999998737
MRLCC,trail,CrO,vqz,0.16319122899999172,0.0,0.17305600000001675
MRLCC,trail,CuO,vqz,0.09457279000000085,0.0,0.10873419999998646
MRLCC,trail,FeO,vqz,0.12531816000000617,0.0,0.155512200000004
MRLCC,trail,MnO,vqz,0.11890594599999815,0.0,0.14297125940001365
MRLCC,trail,ScO,vqz,0.2423591000000016,0.0,0.25536381000000574
MRLCC,trail,TiO,vqz,0.24340698900000746,0.0,0.25339785999999265
MRLCC,trail,VO,vqz,0.23391448099999934,0.0,0.24381173599999784
MRLCC,trail,CrO,v5z,0.1753446729999979,0.0,0.17424681640000017
MRLCC,trail,CuO,v5z,0.09465622700000154,0.0,0.10987829589996068
MRLCC,trail,FeO,v5z,0.1245819340000196,0.0,0.15671194910001418
MRLCC,trail,MnO,v5z,0.12032662000000016,0.0,0.1437744293000094
MRLCC,trail,ScO,v5z,0.2431344300000049,0.0,0.25684096089999997
MRLCC,trail,TiO,v5z,0.2444155269999868,0.0,0.2544431052000107
MRLCC,trail,VO,v5z,0.23346975299999428,0.0,0.24439381719999176
B3LYP,trail,CrO,cbs,0.144071564046655,0.0,0.17539369025220708
B3LYP,trail,CuO,cbs,0.09944952239757754,0.0,0.11098908423252851
B3LYP,trail,FeO,cbs,0.1392904687715486,0.0,0.1578681358434153
B3LYP,trail,MnO,cbs,0.1280786330140984,0.0,0.1445263194790698
B3LYP,trail,ScO,cbs,0.2446320837821645,0.0,0.25834271171856926
B3LYP,trail,TiO,cbs,0.24081698211767844,0.0,0.25541538404372943
B3LYP,trail,VO,cbs,0.22074742958788818,0.0,0.24490347590175077
HSE06,trail,CrO,cbs,0.12961937176176264,0.0,0.17539369025220708
HSE06,trail,CuO,cbs,0.09895756858384175,0.0,0.11098908423252851
HSE06,trail,FeO,cbs,0.14001338326127666,0.0,0.1578681358434153
HSE06,trail,MnO,cbs,0.13048475747233113,0.0,0.1445263194790698
HSE06,trail,ScO,cbs,0.250316131501755,0.0,0.25834271171856926
HSE06,trail,TiO,cbs,0.25561360093041685,0.0,0.25541538404372943
HSE06,trail,VO,cbs,0.2307676225930777,0.0,0.24490347590175077
LDA,trail,CrO,cbs,0.2143265627549198,0.0,0.17539369025220708
LDA,trail,CuO,cbs,0.1530665021971913,0.0,0.11098908423252851
LDA,trail,FeO,cbs,0.23183393044411105,0.0,0.1578681358434153
LDA,trail,MnO,cbs,0.21837994708816666,0.0,0.1445263194790698
LDA,trail,ScO,cbs,0.326964024938853,0.0,0.25834271171856926
LDA,trail,TiO,cbs,0.2859886279427428,0.0,0.25541538404372943
LDA,trail,VO,cbs,0.3316397905082482,0.0,0.24490347590175077
PBE,trail,CrO,cbs,0.17229896145403245,0.0,0.17539369025220708
PBE,trail,CuO,cbs,0.12212208120021728,0.0,0.11098908423252851
PBE,trail,FeO,cbs,0.18946110223407686,0.0,0.1578681358434153
PBE,trail,MnO,cbs,0.17994116798026027,0.0,0.1445263194790698
PBE,trail,ScO,cbs,0.28156062650715086,0.0,0.25834271171856926
PBE,trail,TiO,cbs,0.2871843431667429,0.0,0.25541538404372943
PBE,trail,VO,cbs,0.2799201482624767,0.0,0.24490347590175077
SCAN,trail,CrO,cbs,0.13874922033980397,0.0,0.17539369025220708
SCAN,trail,CuO,cbs,0.11707472670707375,0.0,0.11098908423252851
SCAN,trail,FeO,cbs,0.1659032240820295,0.0,0.1578681358434153
SCAN,trail,MnO,cbs,0.15123392832846605,0.0,0.1445263194790698
SCAN,trail,ScO,cbs,0.26424374299546827,0.0,0.25834271171856926
SCAN,trail,TiO,cbs,0.26087320775805267,0.0,0.25541538404372943
SCAN,trail,VO,cbs,0.23355014585300182,0.0,0.24490347590175077
